Temperature,Capacity,Temperature [K],Capacity [F],Epsilon,1/Epsilon
47.4,1599.9,320.54999999999995,1.5999e-09,2233.3030587644266,0.0004477672638630824
47.3,1570.6,320.45,1.5706e-09,2192.4031402558962,0.00045612049245800684
47.1,1527.8,320.25,1.5277999999999998e-09,2132.658549397019,0.00046889831486748623
47.0,1499.9,320.15,1.4999e-09,2093.712893206303,0.0004776204049966967
46.8,1468.0,319.95,1.4679999999999999e-09,2049.183630393261,0.0004879992135248948
46.6,1432.0,319.75,1.432e-09,1998.9311707923366,0.0005002673501777552
46.5,1413.3,319.65,1.4132999999999999e-09,1972.8278098329672,0.0005068866096756142
46.3,1377.5,319.45,1.3775e-09,1922.8545305631592,0.000520060141890777
46.1,1345.9,319.25,1.3459e-09,1878.7440382467917,0.0005322704847719336
46.0,1328.8,319.15,1.3288e-09,1854.8741199363526,0.0005391201425756664
45.9,1317.7,319.04999999999995,1.3177000000000001e-09,1839.379611559401,0.0005436615659516926
45.8,1299.5,318.95,1.2995e-09,1813.974201427822,0.000551275756409808
45.6,1280.1,318.75,1.2801e-09,1786.893709309546,0.0005596303768881693
45.6,1258.4,318.75,1.2584000000000001e-09,1756.6026433834334,0.0005692807099924868
45.3,1238.3,318.45,1.2383e-09,1728.5450201062501,0.0005785212351244008
45.2,1226.0,318.34999999999997,1.226e-09,1711.3754297426008,0.0005843253225567256
45.0,1203.7,318.15,1.2037e-09,1680.2468228231396,0.0005951506566873352
44.9,1190.1,318.04999999999995,1.1900999999999999e-09,1661.2625603072343,0.0006019518069528153
44.7,1172.0,317.84999999999997,1.1719999999999999e-09,1635.9967403412138,0.0006112481616506361
44.6,1156.2,317.75,1.1562e-09,1613.9414941830305,0.0006196011463886398
44.5,1147.6,317.65,1.1475999999999998e-09,1601.9367399450314,0.0006242443756139295
44.4,1140.4,317.54999999999995,1.1404000000000001e-09,1591.886248024847,0.0006281855887886227
44.3,1128.7,317.45,1.1287e-09,1575.5541986545463,0.0006346973026087936
44.2,1119.7,317.34999999999997,1.1197e-09,1562.991083754315,0.0006397989152938694
44.0,1103.8,317.15,1.1037999999999998e-09,1540.7962474305732,0.0006490150801363884
43.9,1093.6,317.04999999999995,1.0935999999999998e-09,1526.5580505436446,0.0006550684395158609
43.7,1077.5,316.84999999999997,1.0775e-09,1504.084033888787,0.000664856469099346
43.6,1064.6,316.75,1.0645999999999998e-09,1486.0769025317884,0.0006729126859426503
43.5,1056.9,316.65,1.0569000000000001e-09,1475.3284597838133,0.0006778151626970814
43.3,1045.6,316.45,1.0456e-09,1459.554771075745,0.000685140441329902
43.2,1035.3,316.34999999999997,1.0353e-09,1445.1769840232582,0.0006919567714233029
43.1,1027.3,316.25,1.0273e-09,1434.0097707786083,0.0006973453182658868
43.0,1018.3,316.15,1.0182999999999999e-09,1421.4466558783772,0.0007035086373903029
42.9,1013.6,316.04999999999995,1.0136e-09,1414.8859180971456,0.0007067707630767022
42.7,1003.1,315.84999999999997,1.0031e-09,1400.2289507135424,0.0007141689217969748
42.6,994.2,315.75,9.942e-10,1387.8054259788692,0.0007205621056674166
42.3,975.3,315.45,9.753e-10,1361.4228846883839,0.0007345256284779509
42.2,965.8,315.34999999999997,9.658e-10,1348.161818960362,0.0007417507200813268
